aleto,1
alevanta,6
alevantada,2
alevantado,2
alevantam,2
alevantamos,1
alevantando,6
alevantar,1
alevantaram,1
alevantarmos,1
alevantase,1
alevantasse,1
alevantastes,1
alevantava,1
alevantavam,1
alevante,1
alevantou,1
alexandre,2
alexandrina,1
alexandro,4
alexandros,1
alferes,1
alférezes,1
alfeu,1
algarves,2
algodão,3
algoz,1
algozes,1
alguém,2
algum,31
alguma,10
algumas,8
alguns,21
alhea,1
alheia,6
alheias,1
alheio,11
alheios,4
ali,103
alianças,1
alifantes,1
alija,2
alimária,1
alimárias,2
alimpa,2
alimpam,1
alimpamos,1
aljava,1
aljavas,1
aljôfar,2
alma,14
almada,1
almadias,4
almas,10
almeidas,1
aloé,1
alongada,1
alongavam,1
alongo,1
alparcas,1
alqueires,1
alta,33
altamente,1
altar,1
altas,12
alteração,1
alterada,1
alteradas,1
alterado,1
alternando,1
alteza,3
altíssima,1
altíssimos,2
altíssona,1
altíssonos,1
altiva,1
altivo,4
altivos,1
alto,37
altos,20
altura,3
alumia,1
alumiado,1
alumiasse,1
aluno,2
alva,3
alvares,3
álvaro,2
alvas,5
alvoraçada,1
alvoroça,3
alvoroçada,1
alvoroçado,3
alvoroçarse,1
alvoroço,1
ama,16
amada,12
amadas,2
amado,9
amador,1
amadores,2
amados,2
amaina,4
amainamos,1
amainase,1
amainassem,2
amainou,1
amais,1
amalteia,1
amam,1
amando,1
amansadas,1
amansando,1
amansava,1
amansavam,1
amanse,1
amante,6
amantes,6
amar,1
amara,4
amarelo,2
amarelos,2
amaro,2
amarra,1
amarras,1
amarte,1
amasis,1
amasse,1
amaste,1
amava,2
amavam,2
ambas,5
ambição,5
ambicioso,2
ambos,8
ambrósia,1
ameaça,1
ameaçando,2
ameaço,1
ameaços,1
amedrenta,1
amedrontada,1
amedrontado,3
amedrontados,1
ameno,6
amestramos,1
amido,1
amiga,4
amigas,2
amigo,14
amigos,13
amimados,1
amiúdamse,1
amizade,7
amizades,1
amo,3
amoesta,1
amolando,1
amon,1
amor,61
amoras,1
amores,19
amorosa,1
amorosas,3
amoroso,1
amorosos,1
amortecido,1
amostra,3
amostrais,1
amostrando,1
amostrandose,1
amostrar,1
amostrarão,1
amostrou,1
amparo,1
ampaza,1
ampelusa,2
anafis,2
ancas,1
âncora,3
ancorado,1
ancorados,1
ancoraram,1
âncoras,5
ancoravam,2
anda,13
andais,2
andaluzia,2
andam,3
andamos,3
andando,3
andar,5
andaram,3
andaríamos,1
andarlhe,1
andassem,1
andava,13
andavam,3
ande,4
andem,1
andor,1
andrómeda,1
anéis,1
anelado,1
anfióneas,1
anfitrite,2
angélica,8
angélico,3
angélicos,1
anibais,1
anibal,1
anima,2
animada,1
animados,1
animais,13
animal,4
animava,2
anime,1
ânimo,10
ânimos,4
animoso,3
animosos,3
anjos,3
ano,3
anos,15
anquises,1
anrique,2
antão,1
antarctico,2
antarcticos,1
antártico,2
ante,4
antecessores,1
antemão,1
antenas,1
antenor,2
antepassados,1
antepuser,1
antes,32
anteu,3
antevêem,1
antídoto,1
antiga,19
antigamente,5
antigas,1
antigo,23
antigos,15
antígua,2
antiguidade,4
antiguidades,1
antíguos,1
antípodas,1
antolha,1
antolhos,1
antónio,6
anúbis,1
ao,231
aonde,9
aónia,1
aos,60
apagada,1
apanha,2
apanhando,1
apanhasse,1
aparece,11
aparecem,5
apareceu,1
aparecia,3
aparelha,4
aparelhada,2
aparelhado,5
aparelhados,4
aparelhamos,1
aparelhava,2
aparelhavam,2
aparelho,5
aparência,3
aparta,3
apartadas,3
apartado,3
apartados,2
apartamos,1
apartando,2
apartar,1
apartava,1
apartavam,1
aparte,1
apartou,3
apascenta,2
apascentar,1
apascentavam,1
apelar,1
apeles,1
apelida,1
apelido,1
apenas,1
apenino,1
apercebe,1
apercebemse,1
apercebessem,1
apercebia,1
apercebida,3
apercebido,6
apercebidos,2
apertando,1
apertaram,1
apertava,1
apertavam,1
aperto,4
apesar,3
apetitos,2
apio,1
apito,1
aplauso,1
apodrecia,2
apolíneo,1
apolíneos,1
apolo,8
apontando,1
após,4
aposentasse,1
aposento,2
aposentos,3
aposentou,1
apouca,1
apousentam,1
apousentos,1
aprazíveis,1
apregoa,2
apregoam,2
aprendam,1
aprende,3
aprendem,1
aprendeu,1
aprendido,1
apresenta,11
apresentara,1
apresentaram,1
apresentasse,1
apresente,1
apressa,1
apressada,1
apressadas,1
apressado,3
apressurada,1
aprova,1
aprovado,2
aprovam,1
aproveita,2
aproveitar,1
aproveitaram,1
apto,1
apúlia,1
apura,1
aquáticas,1
aqueixa,1
aquela,13
àquela,2
aquelas,8
aquele,32
aqueles,19
aquém,1
aqueménia,1
aquentava,1
aquente,1
aqueronte,1
aqui,83
aquiles,5
aquilo,8
aquista,1
aquoso,1
ar,25
ara,2
arábia,7
arábias,1
arábica,3
arábicas,1
arábico,1
arábio,1
arado,2
arados,2
aragão,1
arame,1
aras,5
araspas,1
arcadas,1
arcádia,1
arco,4
arcos,5
arcturo,1
arde,4
ardendo,2
ardente,35
ardentes,4
ardentíssimos,1
arderam,1
ardia,2
ardido,1
ardil,3
ardis,2
ardor,4
ardores,1
árdua,1
árduas,3
árduo,3
areia,8
areias,3
arenosa,5
arenosas,2
arenosos,1
ares,8
areturo,1
aretusa,1
argênteas,2
argento,5
argo,1
argonautas,2
argos,2
argutos,1
áridos,1
aríete,1
arma,3
armada,35
armadas,4
armado,5
armados,1
armaduras,1
armamse,1
armando,1
armar,1
armas,56
armase,1
armastes,1
arme,1
arménia,1
arménios,1
armígeros,1
armou,1
armuza,1
arnês,3
arneses,4
arómata,1
arou,1
arpéus,1
arquetipo,1
arquico,2
arquiteto,1
arracão,1
arraial,2
arranca,1
arrancam,1
arrancaram,1
arrancavam,1
arrasa,1
arrasta,1
arrebatado,1
arreceava,1
arreceia,4
arreceio,1
arreceosos,1
arrede,1
arreia,4
arreias,1
arreio,2
arremeda,1
arremessa,5
arremessando,1
arremessões,1
arremessou,1
arrenegados,2
arrenegando,1
arrependido,1
arrepiamse,1
arribando,1
arrogante,2
arrogantes,1
arrojando,1
arrombam,1
arronches,2
arruído,1
arruinar,1
arsinário,1
arsínoe,2
artabro,1
arte,37
artes,5
artífice,1
artifício,1
artifícios,1
artificiosa,1
artilharia,2
arúspices,1
árvore,2
arvoredo,4
arvoredos,1
árvores,7
arzila,1
as,504
ás,1
às,44
asaboro,1
asas,8
asia,1
ásia,6
asianas,1
asinha,5
aspecto,2
aspectos,1
aspeito,1
ásperas,2
aspereza,3
asperezas,1
asperíssimo,1
áspero,4
ásperos,9
aspérrima,1
aspérrimo,1
aspérrimos,2
aspirasse,1
aspirava,1
assalte,1
assalto,1
assaz,2
assela,2
asselo,1
assenta,2
assentada,1
assentado,1
assentados,2
assentam,1
assentarei,1
assentava,1
assentavam,1
assente,2
assento,14
assentos,3
assentou,1
assi,11
assim,102
assinala,2
assinalada,1
assinalado,3
assinalados,1
assinalar,1
assinalarse,1
assíria,3
assírios,1
assombrado,1
assopra,1
assopralhe,1
assoprando,2
assoprava,1
assopravam,2
assopros,1
assovia,2
assoviando,1
ásteas,1
astianás,1
astreia,1
astrolábio,1
astúcia,2
astúrias,2
astutamente,1
astutas,1
astuto,9
ata,1
atada,1
atai,1
atalha,1
atalhavam,1
atalho,2
atamante,1
atambores,2
atando,1
ataram,1
atava,1
ate,1
até,25
ateada,1
atéaqui,2
ateia,1
atéli,2
atenas,2
atenta,4
atentado,1
atentando,2
atento,2
atiça,2
atila,1
atlante,3
atlântico,2
atolados,1
atónito,3
atrás,5
atravessa,3
atravessando,1
atreu,1
atreva,1
atreve,6
atrevem,1
atreveu,1
atrevidas,1
atrevidos,1
atrevimento,2
atrevimentos,3
atrevo,1
atroa,1
atroam,2
atroando,1
atroce,1
atroces,1
átropos,1
audazes,1
augusto,2
augustos,1
aumenta,2
aumentasse,1
aumento,1
aura,1
aurea,1
áurea,3
áureas,1
áureo,1
áureos,2
auríferas,1
aurífero,1
aurora,12
ausência,2
ausónía,1
ausónios,1
auspício,1
austera,1
austero,1
austeros,1
austrais,1
austral,3
austrina,1
austro,9
autoridade,3
avantajado,1
avante,10
avara,1
avaras,1
avarentos,1
avaro,3
avaros,2
avás,1
ave,1
avena,1
avenas,1
aventajam,1
aventura,1
aventurado,1
aventurados,1
aventurar,2
aventuraram,1
aventurarme,1
aventurarse,1
aventuras,1
aventureira,1
aventureiras,1
aventureiro,4
aventureiros,2
aventuroso,1
aves,12
avisa,2
avisado,1
avisamos,1
avisara,1
aviso,2
avizinha,1
avô,2
avorrecida,2
avorrecido,2
avós,1
avôs,1
axes,1
axio,1
az,2
azagaia,1
azagaias,1
azenegues,1
azuis,2
azul,1
babel,3
babilónias,1
baça,2
baçaim,1
bacanor,1
bácaro,1
baco,16
bactra,1
badajoz,2
bafo,1
bago,1
bailos,1
baixa,2
baixo,5
baixos,2
balanços,1
balduíno,1
baluartes,1
banda,11
bandeira,8
bandeiras,9
bando,4
banha,6
banhada,1
banhados,2
banhando,2
banhar,3
banharemse,1
banharme,1
banhavam,1
banquetes,2
barão,3
barata,2
barba,4
bárbara,2
barbaria,2
bárbaro,12
bárbaros,2
barborá,1
barcos,2
barém,2
barões,9
barra,7
barrete,1
barretes,1
basiliscos,2
basta,1
bastante,5
bastantes,1
bastão,1
bastaram,1
bastardo,1
bastava,1
batalha,10
batalhas,7
batéis,15
batel,7
batendo,1
batiam,1
baticalá,1
batizado,2
batizados,1
batro,1
baxa,1
baxo,2
baxos,1
beadala,2
beatilha,1
beatriz,1
bebe,5
bebem,1
bebendo,2
beber,1
bebeu,1
bebido,1
beiços,1
beija,2
beijar,2
beijos,2
beja,3
bela,24
belacíssimos,1
belas,6
belém,1
beleza,1
bélica,5
bélicas,1
bélico,4
belicosa,4
belicosas,2
belicoso,3
belicosos,3
belígera,1
belígeras,1
belígero,3
belisário,1
belíssima,1
belo,7
belona,1
belos,2
bem,98
bemaventurado,1
benditas,1
benefício,1
bengala,2
benigna,3
benignamente,1
benignidade,1
benigno,3
benino,1
benjamim,1
benomotapa,1
benquisto,1
bens,2
berberia,1
berço,2
berços,1
bestas,1
bestial,1
bética,1
bétis,3
bíbli,1
bicho,2
bico,1
bicos,1
bigodes,1
bintão,1
bipur,1
biscainha,1
bispo,1
bívoras,1
bizâncio,2
blasfema,3
blasfemando,1
boa,7
boca,9
bocas,1
bocejando,1
boêmios,1
bois,1
bolonhês,1
bom,11
bomba,3
bombardadas,1
bombardas,4
bombardeiros,1
bombas,2
bonanças,1
bondade,3
bonina,1
boninas,3
bons,4
bootes,1
bordo,7
boreais,3
boreal,1
bóreas,7
bornéu,1
botões,1
bovina,1
braço,24
braços,14
brada,6
bradandovos,1
brado,2
brados,3
bradou,1
brama,1
bramando,2
bramás,1
bramavam,1
brâmene,1
brâmenes,3
bramido,1
bramidos,2
bramindo,1
bramo,1
branca,9
brancas,3
branco,3
brancos,2
branda,4
brandamente,6
brandas,1
brandindo,2
brando,11
brandura,2
branduras,1
brasil,1
brava,6
bravas,1
braveza,3
bravo,14
bravos,5
bretanha,1
breve,14
brevemente,1
brevidade,2
briareu,1
brigo,1
brincando,1
brincava,1
brincos,1
brúsio,1
bruta,8
brutas,2
bruteza,1
brutezas,1
bruto,7
brutos,3
busca,6
buscais,1
buscam,2
buscamos,2
buscando,12
buscar,21
buscara,1
buscarei,1
buscarlhe,1
buscarse,1
buscas,1
buscasse,1
buscava,3
buscavam,2
busco,1
buscou,1
busíris,1
cá,15
cabaia,1
cabaias,1
cabe,4
cabeça,16
cabeças,7
cabeceira,2
cabelo,2
cabeloó,1
cabelos,9
cabem,1
cabo,16
cabrestante,1
caça,5
caçador,2
caçadora,1
caçadores,2
cachos,1
cada,17
cadeias,1
cadeira,1
cadeiras,2
cádis,1
cadmo,1
caem,3
cães,6
cafres,2
cai,4
caia,2
caía,1
caíam,1
caibam,1
caídas,1
caído,2
caindo,1
cair,5
caíram,1
cairão,1
cais,1
caiu,1
cajado,1
calada,1
calaiate,1
calatrava,1
calçado,1
calças,1
calecu,9
calese,1
cálida,1
calíope,3
calipsos,1
calisto,3
calma,4
calmas,1
calo,1
calos,1
calpe,1
cama,2
camarões,2
cambaia,5
cambaica,1
cambaico,1
cambaicos,1
cambalão,1
camboja,1
camenas,2
camilha,1
caminha,6
caminham,1
caminhando,3
caminhante,1
caminhava,2
caminho,26
caminhos,5
camisa,1
campais,1
campaspe,1
campina,1
campo,31
